NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE,VALUE_
05286334,10,2023,980090,1,8.3333,
05286334,10,2023,980210,2,8.3333,
05286334,10,2023,980240,2,8.3333,
05286334,10,2023,980282,2,8.3333,
05286334,10,2023,980286,2,8.3333,
05286334,10,2023,980310,2,8.3333,
05286334,10,2023,980330,2,8.3333,
05286334,10,2023,980350,2,8.3333,
05286334,11,2023,005200,2,24166.6667,
05286334,11,2023,005210,2,23750.0000,
05286334,11,2023,005600,2,666.6667,
05286334,11,2023,005610,2,1250.0000,
05286334,11,2023,005620,2,73.0000,
05286334,11,2023,005800,2,1202.0833,
05286334,11,2023,005810,2,1250.0000,
05286334,11,2023,800940,2,2446.0052,T
05286334,11,2023,900000,2,51438.0040,T
05286334,11,2023,900180,2,8430.8689,T
05286334,11,2023,950004,2,15898.6667,
05286334,11,2023,950014,2,4971.1667,
05286334,11,2023,980000,2,59868.8729,T
05286334,11,2023,980010,2,0.1667,
05286334,11,2023,980020,2,4.4167,
05286334,11,2023,980030,2,0.1667,
05286334,11,2023,980040,2,0.1667,
05286334,11,2023,980071,2,38999.0417,T
05286334,11,2023,980090,1,8.3333,
05286334,11,2023,980210,2,8.3333,
05286334,11,2023,980240,2,8.3333,
05286334,11,2023,980282,2,8.3333,
05286334,11,2023,980286,2,8.3333,
05286334,11,2023,980310,2,8.3333,
05286334,11,2023,980330,2,8.3333,
05286334,11,2023,980350,2,8.3333,
05286334,12,2023,005200,2,24166.6667,
05286334,12,2023,005210,2,23750.0000,
05286334,12,2023,005600,2,666.6667,
05286334,12,2023,005610,2,1250.0000,
05286334,12,2023,005620,2,73.0000,
05286334,12,2023,005800,2,1202.0833,
05286334,12,2023,005810,2,1250.0000,
05286334,12,2023,800940,2,2446.0052,T
05286334,12,2023,900000,2,51438.0040,T
05286334,12,2023,900180,2,8430.8689,T
05286334,12,2023,950004,2,15898.6667,
05286334,12,2023,950014,2,4971.1667,
05286334,12,2023,980000,2,59868.8729,T
05286334,12,2023,980010,2,0.1667,
05286334,12,2023,980020,2,4.4167,
05286334,12,2023,980030,2,0.1667,
05286334,12,2023,980040,2,0.1667,
05286334,12,2023,980071,2,38999.0417,T
05286334,12,2023,980090,1,8.3333,
05286334,12,2023,980210,2,8.3333,
05286334,12,2023,980240,2,8.3333,
05286334,12,2023,980282,2,8.3333,
05286334,12,2023,980286,2,8.3333,
05286334,12,2023,980310,2,8.3333,
05286334,12,2023,980330,2,8.3333,
05286334,12,2023,980350,2,8.3333,
05286344,10,2023,005200,2,333.3333,
05286344,10,2023,005210,2,333.3333,
05286344,10,2023,800940,2,234.0000,
05286344,10,2023,900000,2,3058.3333,
05286344,10,2023,900090,2,820.0000,
05286344,10,2023,900150,2,500.0000,
05286344,10,2023,950004,2,-644.6667,
05286344,10,2023,980000,2,4378.3333,
05286344,10,2023,980010,2,0.5000,
05286344,10,2023,980020,2,3.3333,
05286344,10,2023,980030,2,0.0833,
05286344,10,2023,980040,2,0.1667,
05286344,10,2023,980050,2,0.2500,
05286344,10,2023,980071,2,5006.3333,
05286344,10,2023,980210,2,8.3333,
05286344,10,2023,980260,2,8.3333,
05286344,10,2023,980281,2,8.3333,
