QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MINAPPLY,MINA_PLY,GFTCMIN,GFTCMIN_,MIN_MO,MIN_MO_,MINPURX,MINPURX_,MINRENTX,MINR_NTX,MNAPPL1,MNAPPL1_,MNAPPL2,MNAPPL2_,MNAPPL3,MNAPPL3_,MNAPPL4,MNAPPL4_,MNAPPL5,MNAPPL5_,MNAPPL6,MNAPPL6_,MNAPPL7,MNAPPL7_,MNAPPL8,MNAPPL8_,MNAPPL9,MNAPPL9_,INSTLSCR,INST_SCR,INSTLLEX,INST_LEX,APBPURCH
20241,05288954,2,0,1,640,D,1,D,12,D,228,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,
20241,05289114,1,0,2,230,D,1,D,10,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05289124,1,0,1,650,D,1,D,12,D,330,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05289124,2,0,1,660,D,1,D,12,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05289124,3,0,1,425,D,1,D,12,D,280,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,
20241,05289124,4,0,1,480,D,1,D,10,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05289494,1,0,1,655,D,3,D,11,D,230,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05289494,2,0,1,660,D,1,D,11,D,148,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05289494,3,0,1,320,D,1,D,12,D,87,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20241,05289494,4,0,1,440,D,1,D,12,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,
20241,05289494,5,0,1,480,D,1,D,12,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1
20241,05289494,6,0,1,490,D,3,D,12,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1
20241,05289494,7,0,2,440,D,1,D,10,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,
20241,05289494,8,0,2,440,D,1,D,10,D,95,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,
20241,05289564,1,0,1,660,D,1,D,12,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05289574,1,0,1,470,D,1,D,10,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
