NEWID,SEQNO,ALCNO,HSVCODE,HSVCODE_,HSVCD1,HSVCD1_,HSVCD2,HSVCD2_,HSVCD3,HSVCD3_,HSVCD4,HSVCD4_,HSVCD5,HSVCD5_,HSVCD6,HSVCD6_,HSVCD7,HSVCD7_,HSVCD8,HSVCD8_,HSVCD9,HSVCD9_,HSVMO,HSVMO_,HSVGFTC,HSVGFTC_,HSVEXPX,HSVEXPX_,QYEAR
05839712,21,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,12,D,1,D,80,D,20251
05839772,14,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,12,D,1,D,50,D,20251
05839812,12,0,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,10,D,,A,38,D,20251
05839812,13,0,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,11,D,,A,450,D,20251
05839912,15,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,10,D,1,D,1600,D,20251
05839912,16,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,11,D,1,D,1600,D,20251
05839912,17,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,12,D,1,D,1400,D,20251
05839932,6,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,67,D,20251
05839932,7,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,10,D,1,D,67,D,20251
05839982,10,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,10,D,,A,120,D,20251
05839982,11,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,10,D,1,D,260,D,20251
05840222,15,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,89,D,20251
05840222,16,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,200,D,20251
05840222,17,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,11,D,1,D,120,D,20251
05840412,32,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,3,D,20251
05840442,15,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,55,D,20251
05840442,16,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,200,D,20251
05840482,11,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,100,D,20251
05840552,17,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,10,D,,A,200,D,20251
05840552,18,0,270,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,10,D,,A,20,D,20251
05840552,19,0,270,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,11,D,,A,20,D,20251
05840552,20,0,270,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,12,D,,A,20,D,20251
05840552,21,0,280,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,11,D,,A,300,D,20251
05840552,22,0,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,10,D,,A,200,D,20251
05840642,8,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,20,D,20251
05840742,8,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,60,D,20251
05841572,8,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,12,D,,A,99,D,20251
05841572,9,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,50,D,20251
05841572,10,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,14,D,20251
05841632,21,0,230,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,100,D,20251
05841662,11,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,240,D,20251
05841742,10,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,12,D,,A,115,D,20251
05841742,11,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,100,D,20251
05841752,10,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,300,D,20251
