QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,UTILY,UTILY_,WHATPROP,WHAT_ROP,BLPERIOD,BLPE_IOD,QFUELADZ,QFUE_ADZ,UTLPTYPE,UTLP_YPE,UTIL1,UTIL1_,UTIL2,UTIL2_,UTIL3,UTIL3_,UTIL4,UTIL4_,UTIL5,UTIL5_,UTIL6,UTIL6_,UTIL7,UTIL7_,UTIL8,UTIL8_,UTIL9,UTIL9_,QADFUL1X,QADF_L1X,QADFUL2X,QADF_L2X,QADFUL3X,QADF_L3X,UTCPURCH
20244,05836841,37,0,1,205,D,01,D,2,D,1.00,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,0,D,218,D,0,D,
20244,05836841,38,0,1,210,D,01,D,,A,1.00,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,29,D,29,D,31,D,
20244,05836841,39,0,1,100,D,02,D,,A,1.00,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,56,D,69,D,72,D,
20244,05836841,40,0,1,205,D,02,D,2,D,1.00,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,205,D,0,D,205,D,
20244,05836851,30,0,1,100,D,01,D,,A,1.00,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,238,D,245,D,239,D,
20244,05836851,31,0,1,150,D,01,D,5,D,1.00,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,462,D,0,D,0,D,2
20244,05836851,32,0,1,230,D,01,D,2,D,1.00,D,1,D,210,D,205,D,,A,,A,,A,,A,,A,,A,,A,0,D,,H,0,D,2
20244,05836851,32,6,1,205,D,01,D,,A,,A,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,110,E,,A,2
20244,05836851,32,7,1,210,D,01,D,,A,,A,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,67,E,,A,2
20244,05836891,13,0,1,100,D,01,D,,A,1.00,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,98,D,100,D,98,D,
20244,05836891,14,0,1,205,D,01,D,,A,1.00,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,45,D,40,D,45,D,2
