QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOB,PROP0NOB,OWNYB,OWNYB_,OBSNSZB,OBSNSZB_,PROPTYPE,PROP_YPE,ACQUIRMO,ACQU_RMO,ACQUIRYR,ACQU_RYR,OWN_PURX,OWN__URX,OWNDPMTX,OWND_MTX,CLOSECST,CLOS_CST,QADPTAX,QADPTAX_,TIMESHAR,TIME_HAR,SHARWKS,SHARWKS_,SHARED1,SHARED1_,SHARPER1,SHAR_ER1,SHARED2,SHARED2_,SHARPER2,SHAR_ER2,GIFTPROP,GIFT_ROP,BSNEXP2,BSNEXP2_,DEEDED,DEEDED_
20241,05290504,14,0,5,01,D,100,D,,A,3,D,,B,1998,D,,A,,A,,A,250,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05290514,29,0,5,01,D,100,D,,A,3,D,,B,1993,D,,A,,A,,A,20889,T,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05290524,15,0,5,01,D,100,D,,A,3,D,,B,2006,D,,A,,A,,A,4000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05290534,34,0,5,01,D,100,D,0.01,D,3,D,08,D,2022,D,,A,,A,,A,8100,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05290704,32,0,5,01,D,100,D,,A,3,D,,B,2016,D,,A,,A,,A,4700,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05290754,23,0,5,01,D,100,D,,A,3,D,,B,1994,D,,A,,A,,A,1700,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05290754,24,0,5,02,D,600,D,,A,,A,,B,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290754,25,0,5,03,D,600,D,,A,,A,,B,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290784,24,0,6,01,D,100,D,,A,3,D,,B,,B,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20241,05290804,13,0,5,01,D,100,D,,A,3,D,,B,1993,D,,A,,A,,A,3800,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05290824,23,0,5,01,D,100,D,,A,3,D,,B,2004,D,,A,,A,,A,6100,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05290824,24,0,5,02,D,400,D,,A,3,D,,B,2000,D,,A,,A,,A,10,D,1,D,,A,,A,,A,2,D,,A,,A,,A,,A
20241,05290824,25,0,5,03,D,400,D,,A,3,D,,B,,C,,A,,A,,A,150,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20241,05290884,16,0,5,01,D,100,D,,A,3,D,,B,2003,D,,A,,A,,A,6700,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05290914,26,0,5,01,D,100,D,,A,3,D,,B,2010,D,,A,,A,,A,3100,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05290924,30,0,5,01,D,100,D,,A,3,D,,B,2019,D,,A,,A,,A,1100,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05290924,31,0,5,02,D,400,D,,A,3,D,,B,2003,D,,A,,A,,A,480,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20241,05290924,32,0,5,03,D,400,D,,A,3,D,,B,2003,D,,A,,A,,A,480,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20241,05290924,33,0,5,04,D,400,D,,A,3,D,,B,2015,D,,A,,A,,A,480,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20241,05290924,34,0,5,05,D,400,D,,A,3,D,,B,2019,D,,A,,A,,A,480,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20241,05290984,20,0,5,01,D,100,D,,A,3,D,,B,2013,D,,A,,A,,A,2200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05290994,18,0,5,01,D,100,D,,A,3,D,,B,1966,D,,A,,A,,A,1400,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05291004,19,0,5,01,D,100,D,,A,3,D,,B,2003,D,,A,,A,,A,8000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05291014,18,0,5,01,D,100,D,,A,3,D,,B,1991,D,,A,,A,,A,350,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05291074,25,0,5,01,D,100,D,,A,3,D,,B,2020,D,,A,,A,,A,6500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05291084,10,0,5,01,D,100,D,,A,3,D,,B,2017,D,,A,,A,,A,1200,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05291094,23,0,5,01,D,100,D,,A,3,D,,B,1995,D,,A,,A,,A,4500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05291114,21,0,5,01,D,100,D,,A,3,D,,B,2016,D,,A,,A,,A,3800,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05291154,17,0,5,01,D,100,D,,A,3,D,,B,2020,D,,A,,A,,A,2200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05291184,28,0,5,01,D,100,D,,A,3,D,,B,2019,D,,A,,A,,A,10000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05291274,21,0,5,01,D,100,D,,A,3,D,,B,2016,D,,A,,A,,A,6400,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
