QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOG,PROP0NOG,OWNYG,OWNYG_,NEWMRTG,NEWMRTG_,ORGMRTG,ORGMRTG_,QMRTTRMG,QMRT_RMG,MRTPMTG,MRTPMTG_,PAYPRTXG,PAYP_TXG,PAYPRING,PAYP_ING,PAYMRING,PAYM_ING,PAYOTHRG,PAYO_HRG,QESCROWG,QESC_OWG,QPRINM1G,QPRI_M1G,QPRINM2G,QPRI_M2G,QPRINM3G,QPRI_M3G,QADINT1G,QADI_T1G,QADINT2G,QADI_T2G,QADINT3G,QADI_T3G,QRFINDTG,QRFI_DTG,FRSTPYMG,FRST_YMG,FRSTPYRG,FRST_YRG,FIXDRTEG,FIXD_TEG,QNEWDATG,QNEW_ATG,QBLNCM1G,QBLN_M1G,QBLNCM2G,QBLN_M2G,QBLNCM3G,QBLN_M3G,LOAN_NOG,LOAN0NOG,VARRTEG,VARRTEG_,INTONLYG,INTO_LYG,OTHRTEG,OTHRTEG_,PAYMT1G,PAYMT1G_,PAYMT2G,PAYMT2G_,PAYMT3G,PAYMT3G_,PAYPRNPG,PAYP_NPG,PAYINTG,PAYINTG_
20244,05658643,20,0,5,01,D,100,D,.0675,F,220000,F,10,F,2526,F,,A,,A,,A,,A,0,F,685,F,689,F,693,F,515,F,511,F,507,F,,A,01,F,2023,F,2,F,,A,192803,F,191361,F,189911,F,01,D,1,F,,A,,A,1200,F,1200,F,1200,F,1,D,2,D
20244,05665673,37,0,5,01,D,100,D,.0700,D,65000,D,10,D,1832,D,,A,,A,,A,,A,1077,D,385,D,387,D,389,D,370,D,368,D,366,D,,A,03,D,2024,D,1,D,,A,63483,D,63099,D,62712,D,01,D,,A,,A,,A,,A,,A,,A,,C,,C
20244,05667943,18,0,5,01,D,100,D,.0386,D,37669,D,15,D,276,D,,A,,A,,A,,A,0,D,181,D,181,D,182,D,95,D,95,D,94,D,,A,08,D,2020,D,1,D,,A,29647,D,29466,D,29285,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20244,05671673,23,0,5,01,D,100,D,.0747,D,24677,D,12,D,260,D,,A,,A,,A,,A,0,D,106,D,107,D,108,D,154,D,153,D,152,D,,A,08,D,2024,D,1,D,082024,D,24677,D,24571,D,24464,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20244,05675573,28,0,5,01,D,100,D,.0750,D,129448,D,15,D,1200,D,,A,,A,,A,,A,0,D,,A,,A,391,D,,A,,A,809,D,,A,10,D,2024,D,1,D,,A,,A,,A,129448,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20244,05678753,30,0,5,01,D,100,D,.0600,D,116844,D,15,D,986,D,,A,,A,,A,,A,0,D,429,D,431,D,433,D,557,D,555,D,553,D,,A,08,D,2023,D,1,D,,A,111461,D,111033,D,110602,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20244,05679143,31,0,5,01,D,100,D,.1040,D,105000,D,10,D,1411,D,,A,,A,,A,,A,0,D,,A,560,D,565,D,,A,851,D,846,D,,A,09,D,2023,D,1,D,102024,D,,A,98137,D,97577,D,01,D,,A,,A,,A,850,D,850,D,850,D,1,D,,A
20244,05679143,60,0,5,01,D,100,D,.1040,D,65116,D,10,D,875,D,,A,,A,,A,,A,0,D,345,D,,A,,A,530,D,,A,,A,102024,D,09,D,2023,D,1,D,,A,61205,D,,A,,A,01,D,,A,,A,,A,850,D,850,D,850,D,1,D,2,D
20244,05679383,23,0,5,01,D,100,D,.0910,F,40000,F,10,F,509,F,,A,,A,,A,,A,0,F,206,F,207,F,209,F,303,F,302,F,300,F,,A,08,F,2024,F,1,F,,A,40000,F,39794,F,39587,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20244,05679453,23,0,5,01,D,100,D,.0700,D,18948,D,10,D,220,D,,A,,A,,A,,A,0,D,115,D,116,D,117,D,105,D,104,D,103,D,,A,12,D,2023,D,1,D,,A,17939,D,17824,D,17708,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20244,05679843,26,0,5,01,D,100,D,.0675,D,220000,D,10,D,2526,D,,A,,A,,A,,A,0,D,685,D,689,D,693,D,515,D,511,D,507,D,,A,01,D,2023,D,2,D,,A,192803,D,191361,D,189911,D,01,D,1,D,,A,,A,1200,D,1200,D,1200,D,1,D,2,D
20244,05680203,15,0,5,01,D,100,D,.0600,F,116844,F,15,F,986,F,,A,,A,,A,,A,0,F,429,F,431,F,433,F,557,F,555,F,553,F,,A,08,F,2023,F,1,F,,A,111461,F,111033,F,110602,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
