QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,S17CODEA,S17C_DEA,S17GFTCA,S17G_TCA,SUBEXPX,SUBEXPX_,SUBMO,SUBMO_,SUBPURCH
20241,05288704,49,0,1,840,D,1,D,30,D,13,D,1
20241,05288704,50,0,2,410,D,1,D,25,D,10,D,
20241,05288714,22,0,1,210,D,1,D,48,D,13,D,
20241,05288714,23,0,1,355,D,1,D,35,D,13,D,
20241,05288744,15,0,1,520,D,1,D,75,D,12,D,
20241,05288744,16,0,1,370,D,1,D,120,D,12,D,
20241,05288764,21,0,1,355,D,1,D,6,D,13,D,1
20241,05288764,22,0,1,370,D,1,D,70,D,11,D,
20241,05288764,23,0,1,330,D,1,D,10,D,13,D,
20241,05288864,13,0,1,355,D,1,D,120,D,13,D,
20241,05288864,14,0,1,370,D,1,D,60,D,12,D,
20241,05288884,38,0,1,840,D,1,D,60,D,12,D,
20241,05288884,39,0,1,500,D,1,D,129,D,11,D,
20241,05288884,40,0,1,530,D,1,D,180,D,10,D,
20241,05288884,41,0,1,150,D,1,D,100,D,11,D,
20241,05288884,42,0,1,700,D,1,D,31,D,13,D,1
20241,05288884,43,0,1,355,D,1,D,109,D,10,D,1
20241,05288884,44,0,1,355,D,1,D,119,D,11,D,1
20241,05288884,45,0,1,355,D,1,D,102,D,12,D,1
20241,05288894,24,0,1,520,D,1,D,100,D,11,D,
20241,05288944,15,0,1,355,D,1,D,35,D,13,D,
20241,05288954,41,0,1,840,D,1,D,15,D,13,D,1
20241,05288954,42,0,1,840,D,1,D,4,D,13,D,2
20241,05288954,43,0,1,520,D,1,D,12,D,10,D,1
20241,05288954,44,0,1,520,D,1,D,12,D,11,D,1
20241,05288954,45,0,1,520,D,1,D,12,D,12,D,1
20241,05288954,46,0,1,210,D,1,D,25,D,11,D,2
20241,05288954,47,0,1,355,D,1,D,1,D,13,D,
20241,05288954,48,0,1,355,D,1,D,12,D,13,D,
20241,05288954,49,0,1,355,D,1,D,10,D,13,D,
20241,05289024,25,0,2,520,D,1,D,11,D,10,D,2
20241,05289044,41,0,1,820,D,1,D,79,D,12,D,
20241,05289044,42,0,1,500,D,1,D,214,D,10,D,
20241,05289044,43,0,1,150,D,1,D,28,D,10,D,
20241,05289064,30,0,1,700,D,1,D,6,D,13,D,
20241,05289114,27,0,1,330,D,1,D,11,D,13,D,
20241,05289124,30,0,1,830,D,1,D,170,D,13,D,
20241,05289124,31,0,1,840,D,1,D,18,D,13,D,
20241,05289124,32,0,1,600,D,1,D,300,D,11,D,
20241,05289154,25,0,1,520,D,1,D,35,D,10,D,
20241,05289154,26,0,1,210,D,1,D,50,D,12,D,
20241,05289154,27,0,1,700,D,1,D,18,D,13,D,
20241,05289154,28,0,1,330,D,1,D,10,D,13,D,
20241,05289154,29,0,1,355,D,1,D,13,D,13,D,
20241,05289154,30,0,1,355,D,1,D,10,D,10,D,
