QYEAR,NEWID,MEMBNO,SEQNO,ALCNO,REC_ORIG,PBTPD,PBTPD_,PBTDAYX,PBTDAYX_,JPBTAMTX,JPBT_MTX
20241,05596221,1,18,0,1,2,D,,A,260,D
20241,05596221,2,19,0,1,2,D,,A,260,D
20241,05596281,1,21,0,1,3,D,,A,300,D
20241,05596301,1,19,0,1,7,D,,A,30,D
20241,05596421,1,11,0,1,3,D,,A,15,D
20241,05596781,1,13,0,1,2,D,,A,390,D
20241,05597091,1,11,0,1,2,D,,A,442,D
20241,05597091,2,12,0,1,2,D,,A,442,D
20241,05597121,1,6,0,1,3,D,,A,108,D
20241,05597341,1,9,0,1,3,D,,A,210,D
20241,05597501,1,28,0,1,7,D,,A,60,D
20241,05597782,1,5,0,1,,A,,A,221,F
20241,05598201,1,27,0,1,7,D,,A,120,D
20241,05598201,2,28,0,1,7,D,,A,120,D
20241,05598381,1,42,0,1,7,D,,A,40,D
20241,05598381,31,43,0,1,7,D,,A,20,D
20241,05598743,1,8,0,1,2,D,,A,364,D
20241,05599561,1,20,0,1,4,D,,A,10,D
20241,05599651,1,6,0,1,3,D,,A,240,D
20241,05599881,3,45,0,1,3,D,,A,72,D
20241,05600441,5,14,0,1,2,D,,A,104,D
20241,05600611,1,7,0,1,2,D,,A,260,D
20241,05600901,2,9,0,1,1,D,1,D,52,D
20241,05601331,1,18,0,1,7,D,,A,40,D
20241,05601331,2,19,0,1,7,D,,A,40,D
20241,05601531,1,27,0,1,3,D,,A,30,D
20241,05601531,2,28,0,1,,A,,A,182,F
20241,05602921,1,9,0,1,3,D,,A,60,D
20241,05602991,1,8,0,1,3,D,,A,150,D
20241,05603351,1,22,0,1,4,D,,A,40,D
20241,05603351,2,23,0,1,,A,,A,221,F
20241,05603351,3,24,0,1,,A,,A,221,F
20241,05603351,4,25,0,1,,A,,A,221,F
20241,05603563,1,11,0,1,2,D,,A,286,D
20241,05604201,4,23,0,1,7,D,,A,3,D
20241,05604591,2,22,0,1,4,D,,A,15,D
20241,05604711,3,52,0,1,3,D,,A,60,D
20241,05604711,4,53,0,1,3,D,,A,270,D
20241,05604901,1,19,0,1,3,D,,A,90,D
20241,05605161,1,36,0,1,3,D,,A,150,D
20241,05605191,1,20,0,1,3,D,,A,150,D
20241,05605191,2,21,0,1,3,D,,A,192,D
20241,05605493,1,7,0,1,4,D,,A,120,D
20241,05605881,1,9,0,1,7,D,,A,250,D
20241,05606101,31,18,0,1,7,D,,A,52,D
20241,05606271,1,16,0,1,3,D,,A,300,D
20241,05606921,2,8,0,1,2,D,,A,910,D
20242,05411964,2,35,0,1,2,D,,A,130,D
20242,05412344,2,11,0,1,3,D,,A,18,D
20242,05412864,1,12,0,1,6,D,,A,5,D
20242,05413214,1,14,0,1,3,D,,A,396,D
20242,05413244,1,52,0,1,7,D,,A,45,D
20242,05413244,2,53,0,1,7,D,,A,45,D
20242,05413244,3,54,0,1,7,D,,A,45,D
20242,05413244,4,55,0,1,7,D,,A,45,D
20242,05414104,1,11,0,1,2,D,,A,104,D
20242,05414424,1,21,0,1,3,D,,A,15,D
20242,05414764,1,22,0,1,3,D,,A,60,D
20242,05414764,2,23,0,1,2,D,,A,455,D
20242,05415634,1,33,0,1,7,D,,A,52,D
20242,05415634,2,34,0,1,7,D,,A,52,D
20242,05415634,3,35,0,1,7,D,,A,52,D
20242,05415634,4,36,0,1,7,D,,A,52,D
20242,05416354,1,20,0,1,2,D,,A,260,D
20242,05416354,3,21,0,1,2,D,,A,260,D
20242,05416534,1,25,0,1,3,D,,A,90,D
20242,05417324,1,55,0,1,7,D,,A,25,D
20242,05417964,5,14,0,1,2,D,,A,260,D
20242,05418504,1,17,0,1,3,D,,A,30,D
20242,05418714,1,11,0,1,4,D,,A,165,D
20242,05419284,1,8,0,1,4,D,,A,35,D
