QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MEDPCARY,MEDP_ARY,MEDPGFTC,MEDP_FTC,MEDPMTMO,MEDP_TMO,MEDPMTX,MEDPMTX_,MEDPCY1,MEDPCY1_,MEDPCY2,MEDPCY2_,MEDPCY3,MEDPCY3_,MEDPCY4,MEDPCY4_,MEDPCY5,MEDPCY5_,MEDPCY6,MEDPCY6_,MEDPCY7,MEDPCY7_,MEDPCY8,MEDPCY8_,MEDPCY9,MEDPCY9_,MEDPPRNT,MEDP_RNT,MEDPNOUT,MEDP_OUT
20241,05290184,8,0,1,620,D,1,D,13,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290194,23,0,1,200,D,1,D,10,D,1500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290194,24,0,1,420,D,1,D,11,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290194,25,0,1,620,D,1,D,13,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290194,26,0,1,620,D,1,D,12,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290194,27,0,1,510,D,1,D,10,D,225,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290234,12,0,1,420,D,1,D,12,D,309,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290234,13,0,1,420,D,1,D,10,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290234,14,0,1,420,D,1,D,11,D,34,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290234,15,0,1,420,D,1,D,12,D,68,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290234,16,0,1,620,D,1,D,13,D,28,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290234,17,0,2,420,D,1,D,10,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290244,23,0,1,200,D,1,D,11,D,686,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290244,24,0,1,420,D,1,D,11,D,258,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290244,25,0,1,620,D,1,D,11,D,338,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290384,12,0,1,620,D,1,D,13,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290414,44,0,1,420,D,1,D,10,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290414,45,0,1,410,D,1,D,10,D,165,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20241,05290414,46,0,1,410,D,1,D,11,D,165,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20241,05290414,47,0,1,420,D,1,D,11,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290414,48,0,1,620,D,1,D,13,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290414,49,0,1,620,D,1,D,11,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290424,15,0,1,900,D,1,D,11,D,,H,900,D,420,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290424,15,1,1,200,D,1,D,11,D,199,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290424,15,2,1,420,D,1,D,11,D,51,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
