QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,APPRPRYB,APPR_RYB,SRVCMOB,SRVCMOB_,REPAIRX,REPAIRX_,APPRPB1,APPRPB1_,APPRPB2,APPRPB2_,APPRPB3,APPRPB3_,APPRPB4,APPRPB4_,APPRPB5,APPRPB5_,APPRPB6,APPRPB6_,APPRPB7,APPRPB7_,APPRPB8,APPRPB8_,APPRPB9,EQBPURCH,APPRPB9_
20241,05602671,4,0,1,190,D,01,D,255,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05602851,5,0,1,190,D,02,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05603081,10,0,1,190,D,01,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05603361,6,0,1,110,D,02,D,215,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05603431,10,0,1,190,D,01,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05603471,7,0,1,100,D,02,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05603691,2,0,1,190,D,01,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05603701,3,0,1,200,D,13,D,16,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05603991,3,0,1,130,D,02,D,240,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05603991,4,0,1,200,D,13,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05604201,11,0,1,110,D,01,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05604221,3,0,1,200,D,01,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05604671,3,0,1,200,D,12,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05604711,17,0,1,160,D,02,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05604761,5,0,1,140,D,12,D,172,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05604761,6,0,1,190,D,12,D,67,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05604841,7,0,1,200,D,13,D,33,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05605131,3,0,1,110,D,01,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05605141,5,0,1,190,D,13,D,32,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05605221,5,0,1,190,D,12,D,1400,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05605301,10,0,1,190,D,13,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05605301,11,0,1,190,D,01,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05605451,4,0,1,110,D,02,D,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05605881,3,0,1,120,D,12,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05606191,4,0,1,200,D,13,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05606381,11,0,1,115,D,13,D,,H,100,D,110,D,,A,,A,,A,,A,,A,,A,,,A
20241,05606381,11,1,1,100,D,13,D,31,E,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05606381,11,2,1,110,D,13,D,18,E,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05606481,4,0,1,110,D,01,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05606761,4,0,1,190,D,01,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05606891,5,0,1,110,D,02,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05607671,2,0,1,190,D,13,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05607671,3,0,1,200,D,12,D,149,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05607841,2,0,1,190,D,13,D,48,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05607901,5,0,1,100,D,02,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05607901,6,0,1,200,D,02,D,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
