QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CLOTHYD,CLOTHYD_,CLSVGFTC,CLSV_FTC,CLOTHMOD,CLOT_MOD,CLSRVCX,CLSRVCX_,CLOTHD1,CLOTHD1_,CLOTHD2,CLOTHD2_,CLOTHD3,CLOTHD3_,CLOTHD4,CLOTHD4_,CLOTHD5,CLOTHD5_,CLOTHD6,CLOTHD6_,CLOTHD7,CLOTHD7_,CLOTHD8,CLOTHD8_,CLOTHD9,CLOTHD9_,CLDPURCH
20241,05353434,1,0,1,380,D,1,D,01,D,9,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05353634,2,0,1,380,D,1,D,11,D,1900,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05353634,3,0,2,380,D,1,D,11,D,1750,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05353894,2,0,1,370,D,1,D,12,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05354274,6,0,1,370,D,1,D,12,D,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05354274,7,0,1,450,D,1,D,01,D,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05354274,8,0,2,380,D,2,D,11,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05354324,2,0,1,380,D,1,D,12,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05354634,3,0,1,380,D,1,D,11,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05354794,4,0,1,380,D,1,D,12,D,2850,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05354794,5,0,1,380,D,1,D,12,D,194,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05354794,6,0,1,450,D,1,D,12,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05355034,5,0,1,460,D,1,D,01,D,169,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05355174,5,0,2,460,D,1,D,11,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05356124,1,0,1,400,D,1,D,01,D,,H,400,D,120,D,,A,,A,,A,,A,,A,,A,,A,
20241,05356124,1,1,1,120,D,1,D,01,D,116,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05356124,1,2,1,370,D,1,D,01,D,53,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05356124,1,3,1,380,D,1,D,01,D,31,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05356224,5,0,1,460,D,1,D,02,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05356684,2,0,1,380,D,1,D,02,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05356984,1,0,1,380,D,1,D,12,D,5000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05357034,6,0,1,380,D,1,D,02,D,1400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05357674,1,0,1,380,D,1,D,01,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05357674,2,0,1,380,D,1,D,02,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05358504,1,0,1,380,D,1,D,12,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05358574,3,0,1,120,D,1,D,01,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05358604,3,0,1,120,D,1,D,01,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05358604,4,0,1,370,D,1,D,01,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
