QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CGTEXPW,CGTEXPW_,OTOBQ,OTOBQ_,JFDBAWQV,JFDB_WQV,JALCHMQV,JALC_MQV,JGREXPQV,JGRE_PQV,JCGEXPQV,JCGE_PQV,JOTOBQV,JOTOBQV_,JFDGFTQV,JFDG_TQV,CGTPURCH,OTBPURCH
20241,05290054,3,0,1,2,D,2,D,390,D,0,D,910,D,,A,,A,0,D,,
20241,05290094,5,0,1,2,D,2,D,325,D,0,D,2600,D,,A,,A,0,D,,
20241,05290104,2,0,1,2,D,2,D,390,D,0,D,715,D,,A,,A,0,D,,
20241,05290144,5,0,1,2,D,2,D,845,D,0,D,1690,D,,A,,A,0,D,,
20241,05290184,3,0,1,2,D,2,D,325,D,0,D,780,D,,A,,A,0,D,,
20241,05290194,7,0,1,2,D,2,D,325,D,0,D,3900,D,,A,,A,0,D,,
20241,05290234,5,0,1,2,D,1,D,780,D,0,D,2925,D,,A,455,D,0,D,,
20241,05290244,9,0,1,2,D,2,D,2015,D,520,D,4875,D,,A,,A,0,D,,
20241,05290254,11,0,1,2,D,2,D,0,D,0,D,8658,D,,A,,A,2800,D,,
20241,05290264,5,0,1,2,D,2,D,650,D,0,D,1300,D,,A,,A,0,D,,
20241,05290304,3,0,1,1,D,1,D,390,D,0,D,1950,D,520,D,325,D,0,D,,
20241,05290384,4,0,1,2,D,2,D,1300,D,130,D,390,D,,A,,A,100,D,,
20241,05290414,13,0,1,2,D,1,D,3900,D,3250,D,7800,D,,A,390,D,0,D,,
20241,05290424,4,0,1,2,D,2,D,780,D,0,D,2340,D,,A,,A,0,D,,
20241,05290444,3,0,1,2,D,1,D,130,D,0,D,520,D,,A,117,D,0,D,,
20241,05290504,2,0,1,1,D,2,D,1040,D,0,D,1950,D,1040,D,,A,0,D,,
20241,05290514,9,0,1,2,D,2,D,624,D,0,D,1209,D,,A,,A,0,D,,
