QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CONTCODE,CONT_ODE,CONTMO,CONTMO_,CONTEXPX,CONT_XPX
20241,05345254,6,0,1,170,D,01,D,250,D
20241,05345254,7,0,1,160,D,12,D,104,D
20241,05345304,3,0,1,140,D,13,D,10,D
20241,05345324,7,0,1,170,D,01,D,20,D
20241,05345324,8,0,1,160,D,11,D,40,D
20241,05345324,9,0,1,160,D,01,D,20,D
20241,05345334,3,0,1,170,D,12,D,500,D
20241,05345394,3,0,1,170,D,01,D,50,D
20241,05345434,7,0,1,170,D,12,D,5,D
20241,05345464,4,0,1,170,D,12,D,31209,T
20241,05345464,5,0,1,170,D,13,D,200,D
20241,05345484,6,0,1,170,D,13,D,1000,D
20241,05345634,5,0,1,150,D,13,D,500,D
20241,05345634,6,0,1,160,D,13,D,125,D
20241,05345684,5,0,1,170,D,12,D,25,D
20241,05345684,6,0,1,160,D,12,D,20,D
20241,05345704,4,0,1,170,D,12,D,1500,D
20241,05345704,5,0,1,170,D,11,D,300,D
20241,05345704,6,0,1,170,D,01,D,150,D
20241,05345704,7,0,2,170,D,11,D,50,D
20241,05345754,3,0,1,150,D,13,D,200,D
20241,05345764,4,0,1,170,D,12,D,150,D
20241,05345764,5,0,1,150,D,13,D,250,D
20241,05345814,5,0,1,150,D,11,D,469,D
20241,05345814,6,0,1,150,D,12,D,356,D
20241,05345874,2,0,1,150,D,13,D,35,D
20241,05345944,2,0,1,170,D,12,D,300,D
20241,05345964,3,0,1,160,D,12,D,100,D
20241,05346044,4,0,1,150,D,13,D,100,D
20241,05346074,5,0,1,160,D,13,D,15,D
20241,05346074,6,0,1,160,D,13,D,100,D
20241,05346094,4,0,1,170,D,11,D,20,D
20241,05346094,5,0,1,170,D,12,D,20,D
20241,05346094,6,0,1,170,D,01,D,15,D
20241,05346094,7,0,1,150,D,13,D,400,D
20241,05346124,2,0,1,160,D,01,D,120,D
20241,05346174,3,0,1,150,D,13,D,200,D
20241,05346184,3,0,1,110,D,13,D,1400,D
20241,05346214,2,0,1,150,D,13,D,40,D
20241,05346214,3,0,1,150,D,13,D,80,D
20241,05346244,4,0,1,100,D,01,D,100,D
20241,05346244,5,0,1,140,D,13,D,25,D
20241,05346244,6,0,1,150,D,12,D,300,D
20241,05346244,7,0,1,160,D,12,D,300,D
20241,05346244,25,0,1,150,D,01,D,1200,D
20241,05346344,2,0,1,150,D,13,D,100,D
20241,05346364,2,0,1,140,D,13,D,5,D
20241,05346404,8,0,1,100,D,13,D,680,D
20241,05346404,9,0,1,160,D,13,D,40,D
20241,05346404,10,0,1,150,D,12,D,31209,T
20241,05346404,11,0,1,180,D,12,D,31209,T
20241,05346454,3,0,1,130,D,01,D,10,D
20241,05346504,2,0,1,170,D,12,D,250,D
20241,05346514,2,0,1,170,D,12,D,50,D
20241,05346514,3,0,1,160,D,12,D,80,D
20241,05346514,4,0,1,160,D,01,D,40,D
20241,05346514,5,0,2,170,D,11,D,300,D
20241,05346514,6,0,2,160,D,11,D,70,D
20241,05346614,3,0,1,150,D,13,D,140,D
20241,05346714,2,0,1,160,D,13,D,50,D
20241,05346714,3,0,1,160,D,13,D,20,D
20241,05346794,3,0,1,160,D,13,D,150,D
20241,05346864,2,0,1,160,D,01,D,50,D
20241,05346884,2,0,1,150,D,13,D,125,D
20241,05346884,3,0,1,160,D,01,D,55,D
20241,05346884,4,0,1,160,D,01,D,25,D
20241,05347064,2,0,1,170,D,12,D,200,D
20241,05347084,4,0,1,160,D,13,D,5,D
20241,05347084,5,0,1,160,D,12,D,26,D
20241,05347154,2,0,1,160,D,11,D,200,D
20241,05347364,6,0,1,150,D,11,D,791,D
20241,05347364,7,0,1,150,D,12,D,941,D
20241,05347364,8,0,1,150,D,01,D,791,D
20241,05347434,4,0,1,170,D,12,D,100,D
20241,05347464,4,0,1,170,D,01,D,350,D
20241,05347464,5,0,2,170,D,11,D,300,D
20241,05347474,10,0,1,170,D,12,D,30,D
20241,05347474,11,0,1,170,D,12,D,50,D
20241,05347474,12,0,1,150,D,13,D,100,D
20241,05347594,2,0,1,110,D,13,D,223,D
20241,05347664,5,0,1,170,D,12,D,500,D
20241,05347764,2,0,1,170,D,12,D,450,D
20241,05347834,2,0,1,170,D,12,D,110,D
20241,05347834,3,0,1,170,D,11,D,300,D
20241,05347834,4,0,1,170,D,01,D,120,D
20241,05347834,5,0,1,160,D,11,D,323,D
20241,05347834,6,0,1,160,D,12,D,100,D
20241,05347834,7,0,1,150,D,13,D,200,D
20241,05347904,3,0,1,170,D,12,D,500,D
20241,05347924,3,0,1,150,D,13,D,600,D
20241,05347964,2,0,1,170,D,13,D,150,D
20241,05348014,3,0,1,130,D,01,D,100,D
20241,05348014,4,0,1,150,D,11,D,500,D
20241,05348014,5,0,1,150,D,12,D,625,D
20241,05348014,6,0,1,150,D,01,D,750,D
20241,05348074,2,0,2,170,D,11,D,20,D
20241,05348174,5,0,1,170,D,01,D,5,D
20241,05348244,4,0,1,110,D,12,D,400,D
20241,05348244,5,0,1,150,D,13,D,400,D
20241,05348254,3,0,2,160,D,11,D,20,D
20241,05348274,3,0,1,150,D,13,D,100,D
20241,05348404,4,0,1,170,D,11,D,20,D
20241,05348404,5,0,1,170,D,01,D,20,D
20241,05348424,9,0,1,150,D,13,D,100,D
20241,05348454,4,0,1,170,D,12,D,9000,D
20241,05348454,5,0,1,170,D,12,D,500,D
20241,05348454,6,0,1,150,D,11,D,300,D
20241,05348454,7,0,1,150,D,12,D,375,D
20241,05348454,8,0,1,150,D,01,D,410,D
20241,05348464,5,0,1,170,D,12,D,3500,D
20241,05348464,6,0,1,150,D,13,D,250,D
20241,05348464,7,0,1,160,D,01,D,600,D
20241,05348464,8,0,1,180,D,01,D,1000,D
20241,05348544,16,0,1,170,D,11,D,200,D
20241,05348544,17,0,1,160,D,12,D,20,D
20241,05348544,18,0,1,160,D,01,D,50,D
