QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,FCECODE,FCECODE_,FCESAV,FCESAV_,FCEMO,FCEMO_,FCESCHPD,FCES_HPD,FCESMTX,FCESMTX_,FCENUM2,FCEPURCH,JFCENMQV,FCENUM2_,JFCE_MQV
20243,05796101,7,0,1,301,D,,A,13,D,,A,,A,,,2100,A,D
20243,05796101,8,0,1,321,D,,A,,A,4,D,,A,2,,300,D,D
20243,05796101,9,0,1,345,D,,A,04,D,,A,,A,,,200,A,D
20243,05796101,10,0,1,345,D,,A,05,D,,A,,A,,,200,A,D
20243,05796121,13,0,1,321,D,,A,,A,4,D,,A,3,,300,D,D
20243,05796121,14,0,1,365,D,,A,06,D,,A,,A,,,350,A,D
20243,05796341,4,0,1,200,D,,A,13,D,,A,,A,,,750,A,D
20243,05796431,6,0,1,301,D,,A,13,D,,A,,A,,,3600,A,D
20243,05796571,4,0,1,200,D,,A,13,D,,A,,A,,1,6000,A,D
20243,05796621,10,0,1,700,D,,A,13,D,,A,,A,,,3450,A,D
20243,05796641,8,0,1,303,D,,A,04,D,,A,,A,,,1500,A,D
20243,05796781,4,0,1,200,D,,A,13,D,,A,,A,,,330,A,D
20243,05796801,4,0,1,700,D,,A,13,D,,A,,A,,,720,A,D
20243,05796891,4,0,1,200,D,,A,13,D,,A,,A,,3,1080,A,D
20243,05796931,6,0,1,303,D,,A,13,D,,A,,A,,,1350,A,D
20243,05797191,6,0,1,345,D,,A,04,D,,A,,A,,,45,A,D
20243,05797811,4,0,1,200,D,,A,04,D,,A,,A,,,7000,A,D
20243,05797981,6,0,1,301,D,,A,05,D,,A,,A,,,5000,A,D
20243,05798031,7,0,1,700,D,,A,06,D,,A,,A,,,26,A,D
20243,05798091,10,0,1,100,D,2,D,13,D,,A,,A,,,1200,A,D
20243,05798091,11,0,1,200,D,,A,04,D,,A,,A,,,2300,A,D
20243,05798091,12,0,1,225,D,,A,06,D,,A,,A,,,800,A,D
20243,05798201,13,0,1,303,D,,A,05,D,,A,,A,,,1500,A,D
20243,05798301,21,0,1,335,D,,A,04,D,,A,,A,,,,A,H
20243,05798301,21,1,1,310,D,,A,04,D,,A,,A,,,383,A,E
20243,05798301,21,2,1,321,D,,A,04,D,,A,,A,,,8,A,E
20243,05798301,21,3,1,303,D,,A,04,D,,A,,A,,,69,A,E
20243,05798301,22,0,1,335,D,,A,05,D,,A,,A,,,,A,H
20243,05798301,22,1,1,310,D,,A,05,D,,A,,A,,,3308,A,E
20243,05798301,22,2,1,321,D,,A,05,D,,A,,A,,,74,A,E
20243,05798301,22,3,1,303,D,,A,05,D,,A,,A,,,605,A,E
20243,05798301,23,0,1,321,D,,A,,A,5,D,404,D,,,404,A,D
20243,05798301,24,0,1,345,D,,A,05,D,,A,,A,,,70,A,D
20243,05798301,25,0,1,345,D,,A,06,D,,A,,A,,,105,A,D
20243,05798341,13,0,1,301,D,,A,13,D,,A,,A,,,180,A,D
20243,05798341,14,0,1,321,D,,A,,A,5,D,300,D,,,300,A,D
